,content,like_count,comment_count,date
72,"We're excited to announce the opening of our first AWS | Slalom Launch Center outside of the US! Our Australian Launch Center is ready to help local organisations accelerate their cloud migration and modernise their IT services.

Bringing together a unique combination of Professional Services and Slalom’s business transformation technologies, the Launch Center will help customers in Australia achieve optimised, cloud-based operating models.

, Slalom Australia country managing director says, “Australian customers will benefit from Slalom’s proven consulting and technical skills and AWS’s leading cloud services and migration experience to drive transformation and value further into their businesses.""

Learn more about this announcement here:
…see more
Slalom and AWS bring first Launch Center to Australia
slalom.com • 3 min read
",100,0,
73,"“We can create long-lasting change with the right intent,” says Aishwarya. ""I believe in people to my core.”

We’re grateful for incredible contributors like Aishwarya Bhadouria who make Slalom a Best Workplace for Women. Learn more about what motivates the Forbes 30 under 30 honoree, black belt martial artist, and engineering superstar here:
…see more
Activate link to view larger image.
",25,0,1mo •
74,"Extraordinary times call for extraordinary coaches. Hosted by the award-winning ESPN anchor Hannah Storm, we’re honored to have Earvin ""Magic"" Johnson, former Coach Jill Ellis, Wing Commander Andy Green, and Arshay Cooper as speakers for our next Slalom Presents: Coaching through a Crisis.

These legendary coaches have led teams through challenges that extend beyond the game—whether they’re setting records or pushing the limits of technology to achieve the unachievable. Following this panel, we’ll talk with Dr. Scott Gottlieb, a leading voice in the global response to COVID-19 on how the life sciences industry is rallying through the crisis.

Join us for insights on how to lead your teams to success even during the most challenging times—coming out stronger and more resilient than before. Learn more about Slalom Presents here:
…see more
Slalom Presents: Coaching through a Crisis
go.slalom.com • 1 min read
",100,2,
75,"No, we're not talking about revealing an embarrassing secret. We're talking about literally detecting spooky entities using deep learning Computer Vision #CVV). Learn how Bhawana Mishra from Slalom Build, like a typical character in a horror movie, at first underestimated the travails down this path but was able to re-train her model—with scary-good results:
…see more
Spot Skeletons in your Closet (using Deep Learning CV)
medium.com • 6 min read
",9,0,
76,"We've peaked: Slalom will be speaking at Snowflake's Data Cloud Summit 2020 on November 17! Join us for a day of conversation, learning, and inspiration. Register here: https://slalom.ws/3oF2UuM
Data Cloud Summit 2020
snowflake.events.cube365.net • 1 min read
",35,0,
77,"Thanks to a speedy and effective deployment, InputHealth and Slalom Canada delivered a #SaaS solution that helps Ontario West residents get access to screening, same-day care, and virtual appointments—preserving clinical capacity for those who need it most. Learn more here: https://slalom.ws/3iPToAW
…see more
InputHealth: Delivering same-day COVID care to the residents of Ontario
slalom.com • 2 min read
",14,0,
78,"“You’ll hear many voices telling you how women should act to be successful. Figure out what you want your voice to say, surround yourself with people who make you better, and keep pushing for what you believe in.” Great advice Stephanie Andersen from Slalom Atlanta! Thank you for helping us celebrate being honored as a 2020 for Women by and .
…see more
Activate link to view larger image.
",24,0,1mo •
79,"Fact: Organizations that embrace #cloud report that cloud usage has led to a significantly more favorable view of their #IT teams. Learn which best practices can help you lift up your teams in our article on Harvard Business Review: https://bddy.me/2TxBwAm
…see more
Don't Focus on Digital Transformation; Focus on Quick, Strategic Wins
hbr.org • 3 min read
",42,0,
80,"While it's hard to know how your employee value proposition (EVP) will land, Bhrett Brockley, talent acquisition manager in our fast-growing Australia office, recommends focusing on these 3 key pillars for success: https://bddy.me/2HJ6RO1
Talent Strategy is Business Strategy
medium.com • 4 min read
",14,0,
81,"We're hosting a virtual #MachineLearning Dev Day with Databricks and Amazon Web Services (AWS)! Join us for a demo and learn best practices for using powerful open source technologies to simplify and scale your data and machine learning. Save your spot here: https://bddy.me/3e44yRD
…see more
AWS | Databricks Machine Learning Dev Day Workshop
events.databricks.com • 1 min read
",22,0,
82,"With a life-saving drug pending FDA approval, one pharma company needed a playbook to get its new drug on the shelves—fast. When you need to create a new process that incorporates team-building, coaching, leadership, and enablement on a massive scale, where do you start? Bring in the experts at Slalom:
…see more
Activate link to view larger image.
",49,1,1mo •
83,"Not feeling qualified, prone to procrastination, or having a fear of being exposed as inexperienced or knowledgeable...even if you haven't heard the term ""impostor syndrome"" before, you might know the feeling. Learn how Alice Chen, an AI/ML solution architect in Slalom Atlanta, confronted her own challenges with perfectionism and high expectations and offers words of wisdom for how other women in tech can do the same:
…see more
Women & Impostor Syndrome: You're Not Alone and You Can Defeat It
medium.com • 5 min read
",125,2,
84,"Let's talk digital 360. Join us and Salesforce experts to learn how to maximize impact across every digital touchpoint, use data to provide tailored #customerexperiences, and bust some customer 360 myths. Register for Friday's LinkedIn Live conversation here: https://bddy.me/34yj0Ox
…see more
Let's Talk Digital 360 | LinkedIn
linkedin.com
",29,0,
85,"“I'm not afraid to take risks, to question how things have been done in the past, or to try things that haven't been done before."" In her Q&A, our chief marketing officer Sangeeta Prasad reflects on what she’s learned as a woman of color in leadership—it can be easy to go with the flow, but it’s important to have the courage and conviction to speak up.

Thank you Sangeeta, for bringing your innovation and creativity to Slalom, helping us be a for women!

Get to know Sangeeta more in her Q&A here:
…see more
Activate link to view larger image.
",52,1,1mo •
86,"Fully autonomous vessel navigation may be a few years off, but Slalom Build and #maritime equipment manufacturer JRCS Co.Ltd. are pointing the ship in the right direction.

Together we built a first-of-its-kind computer vision and system on Azure Stack Edge to offer ferry and container ship captains digital decision assistance—and eventually a day off. Learn how we're making it happen:
…see more
JRCS: Digitizing the Shipping Industry | Slalom Build
slalombuild.com • 1 min read
",19,0,
87,"“Leadership is not about being on top or alone, it's about empowering others around you and learning from them. I’m surrounded by people who want me to succeed and I know I can always look to others for advice and support.” Diane Lucas, PMP, CSM, thank you for reminding us that we’re stronger together. We’re grateful our supportive culture was recognized by Fortune with our 2020 for Women award!
…see more
Activate link to view larger image.
",44,1,1mo •
88,"Shift from data silos to collaborative, experimental, and data driven workflows using Slalom's Modern Culture of Data framework. Learn how Fivetran can help with element 2—access and transparency—through automated data integration and ready-to-use connectors: https://bddy.me/3jnsRLb
…see more
Your Data Access and Transparency Journey
fivetran.com • 3 min read
",17,0,
89,"Our very own Ted Hunter, solution principal in Slalom Atlanta and author of the Google Cloud Platform for Developers, is now one of 23 Certified Google Cloud Fellows worldwide. Congratulations Ted! Thank you for fueling growth and innovation, one of Slalom's core values, and helping our clients reach their goals faster.
…see more
Activate link to view larger image.
",98,12,2mo •
90,"We helped the City of Los Angeles visualize its COVID-19 response and recovery with Tableau Software dashboards. Now, city leaders can communicate health information and reopening statuses to the public efficiently and transparently: https://slalom.ws/2YAu62d
…see more
Activate link to view larger image.
",33,0,2mo •
91,"From employees going fully remote to parents maneuvering caregiving and classes, everyone needed help adjusting to the pandemic—Bill Ernzen, managing director of Slalom Detroit, and The Autism Alliance of Michigan (AAoM) knew this was especially true for people with autism and their caregivers.

Learn how AAOM helped quickly connect families to essential resources:
…see more
Autism Alliance of Michigan: Helping families navigate a pandemic
slalom.com • 2 min read
",14,0,
92,"How has your definition of success changed as you grow in your career? Shivani Patel, M.S. Patel from Slalom Hartford weighs in and offers some advice for her past self: “Success to me means continuous growth and striving to hit milestone achievements along the way. Therefore, I would tell my past self to not work towards one specific definition of success, but to allow their view of success to evolve with life’s twists and turns.” Thank you for helping us , Shivani!
…see more
Activate link to view larger image.
",24,0,2mo •
93,"The ""Red Queen"" effect—running faster and faster, but remaining in place—in tech is all too real, and especially true for companies taking #machinelearning into production and establishing #AI as a competitive edge. Start getting traction in your AI investment with this delivery framework, created in partnership with Microsoft and :
…see more
Operationalizing AI with Databricks, Microsoft and Slalom
medium.com • 4 min read
",23,0,
94,"The widespread change needed to achieve equality is a journey and takes time. As with any long travel, fatigue can set in—but that's the moment when organizations need to maintain focus. Dr. Flo Falayi, a leadership psychologist and change consultant at Slalom, offers 4 ways organizations can dig in and make change stick:
…see more
A Bend on the Road to Equality: Four Ways to Stick with Uncomfortable Change
medium.com • 2 min read
",31,0,
